code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
29195,Plouguerneau,53 - Bretagne,6755,28.32,26730.0,10.4913121241617,0.0,0,0,48.61183491803278,-4.5120683606557375,4.9,31671.10578097901,True,False,42.90281477323955,0
29199,Plouigneau,53 - Bretagne,5014,24.55,26020.0,8.41819823040831,0.0,0,0,48.5735905780347,-3.7081009248554913,8.4,32459.56290593237,True,True,83.57783498887382,0
2B037,Biguglia,94 - Corse,7642,20.07,26420.0,13.4669881277428,0.0,0,0,42.613110285714285,9.426696285714284,4.6,30842.019929624046,True,False,107.19041623529552,0
2B148,Lucciana,94 - Corse,6923,14.71,23440.0,13.1389555904191,0.0,0,0,42.53722309999999,9.4673543,4.3,30558.3701109617,True,False,99.19764965609312,0
30006,Aimargues,76 - Occitanie,5705,16.24,25090.0,13.0681555019975,0.0,0,0,43.6697540625,4.2053635937500005,5.9,30734.79342555084,True,False,93.49215605460392,0
30033,Beauvoisin,76 - Occitanie,6066,14.75,24910.0,12.3017197552509,0.0,0,0,43.69691828571429,4.320699428571428,7.7,31288.133089287865,True,False,75.0895443000617,0
30125,Garons,76 - Occitanie,5381,17.88,24640.0,12.9235094837184,0.0,0,0,43.770868285714286,4.436303428571429,4.2,30337.88755275424,True,False,85.86653148629468,0
30141,Laudun-l'Ardoise,76 - Occitanie,6835,16.7,25470.0,9.70515990452084,0.0,0,0,44.105853260869566,4.657956847826087,6.9,31066.932839255533,True,False,73.46031300791472,0
30169,Milhaud,76 - Occitanie,6297,23.42,23560.0,11.9162081772365,0.0,0,0,43.785804444444445,4.312853174603174,3.0,30792.26867930279,True,False,95.25966929059892,0
30217,Rochefort-du-Gard,76 - Occitanie,8117,19.34,28710.0,13.5628444391736,0.0,0,0,43.98119887640449,4.677049887640449,7.0,32101.085616026256,True,True,77.44974269545324,0
30243,Saint-Christol-lez-Alès,76 - Occitanie,7310,28.77,23280.0,10.576993374739,0.0,1,0,44.08661755555555,4.075298666666668,0.0,31265.0068431538,False,False,72.011754160843,1
30294,Saint-Privat-des-Vieux,76 - Occitanie,5703,27.98,26260.0,9.83510324231254,0.0,0,1,44.14025030303031,4.129614242424243,3.6,31278.723968764876,True,False,71.59156678581795,0
30351,Villeneuve-lès-Avignon,76 - Occitanie,13148,30.56,31060.0,13.4776279272851,0.0,3,0,43.98194061538461,4.802533538461538,0.0,30956.595605764385,False,False,95.30505040305664,1
31032,Aussonne,76 - Occitanie,7997,16.28,28720.0,12.5087862739183,0.0,1,0,43.679779800000006,1.3293128,0.0,30148.70082532655,False,False,108.88638771447046,1
31056,Beauzelle,76 - Occitanie,8713,16.25,26990.0,13.0849181863082,0.0,1,0,43.66930131578948,1.3740226315789472,0.0,30036.087232777456,False,False,128.48711654552395,1
31091,Bruguières,76 - Occitanie,6202,18.33,28080.0,11.9974910306978,0.0,2,0,43.72817790322579,1.408509032258065,0.0,29097.44156343303,False,False,100.64219095548638,1
31107,Carbonne,76 - Occitanie,5563,23.92,25160.0,10.5128241712348,0.0,5,0,43.29517923809525,1.2285146666666669,0.0,28067.6412304369,False,False,63.1138981928812,1
31118,Castelnau-d'Estrétefonds,76 - Occitanie,7003,11.37,28440.0,11.2728713637632,0.0,1,0,43.79655560975609,1.3560198780487809,0.0,29350.61048405557,False,False,97.7700222225504,1
